onet_soc_code,ai_exposure,ai_sim_raw,automation_sim_raw,n_rows_used,soc_2018,title,text_len
27-3043.00,0.21778002381324768,0.3362000584602356,0.24489638209342957,55,27-3043,Writers and Authors,
43-3011.00,0.21769431233406067,0.36013999581336975,0.2782827317714691,44,43-3011,Bill and Account Collectors,
17-2112.02,0.21754780411720276,0.39388924837112427,0.3456208109855652,114,17-2112,Validation Engineers,
19-1029.01,0.21713533997535706,0.3764975666999817,0.2399054765701294,93,19-1029,Bioinformatics Scientists,
17-3023.00,0.21697001159191132,0.3695809841156006,0.5015197992324829,107,17-3023,Electrical and Electronic Engineering Technologists and Technicians,
13-2099.01,0.2161472588777542,0.417532742023468,0.23292286694049835,36,13-2099,Financial Quantitative Analysts,
25-1042.00,0.21610955893993378,0.36660313606262207,0.23272304236888885,39,25-1042,"Biological Science Teachers, Postsecondary",
17-2111.02,0.21562910079956055,0.3468487560749054,0.2780669629573822,49,17-2111,Fire-Prevention and Protection Engineers,
19-3011.00,0.2154250591993332,0.38001614809036255,0.206446573138237,52,19-3011,Economists,
11-9121.01,0.2149127721786499,0.33844369649887085,0.235182523727417,45,11-9121,Clinical Research Coordinators,
19-1029.03,0.2149004191160202,0.32835322618484497,0.19041626155376434,36,19-1029,Geneticists,
13-2031.00,0.21459989249706268,0.39168697595596313,0.2661453187465668,61,13-2031,Budget Analysts,
29-1229.05,0.2142246663570404,0.3463435769081116,0.18916909396648407,29,29-1229,Preventive Medicine Physicians,
43-1011.00,0.21406841278076172,0.4075544476509094,0.25001129508018494,89,43-1011,First-Line Supervisors of Office and Administrative Support Workers,
11-9041.00,0.21391475200653076,0.40963077545166016,0.43673592805862427,131,11-9041,Architectural and Engineering Managers,
19-1029.04,0.21381989121437073,0.35049474239349365,0.2366766482591629,57,19-1029,Biologists,
47-2111.00,0.21352800726890564,0.36434316635131836,0.4402264654636383,33,47-2111,Electricians,
25-1054.00,0.21352235972881317,0.35271620750427246,0.2553947865962982,47,25-1054,"Physics Teachers, Postsecondary",
19-1013.00,0.21348026394844055,0.3583056926727295,0.2291485071182251,36,19-1013,Soil and Plant Scientists,
11-3131.00,0.21334657073020935,0.41145139932632446,0.2781379222869873,96,11-3131,Training and Development Managers,
43-3021.00,0.21324846148490906,0.39425647258758545,0.3189185559749603,59,43-3021,Billing and Posting Clerks,
17-2011.00,0.21316178143024445,0.36309123039245605,0.3382200598716736,85,17-2011,Aerospace Engineers,
19-3094.00,0.21294710040092468,0.3599082827568054,0.23507973551750183,40,19-3094,Political Scientists,
15-1299.03,0.2126998007297516,0.3849796950817108,0.3110267221927643,106,15-1299,Document Management Specialists,
27-3042.00,0.21269889175891876,0.35456252098083496,0.28546056151390076,71,27-3042,Technical Writers,
17-2171.00,0.21244962513446808,0.37396979331970215,0.25198858976364136,45,17-2171,Petroleum Engineers,
19-4042.00,0.21236109733581543,0.3340475261211395,0.24045220017433167,33,19-4042,"Environmental Science and Protection Technicians, Including Health",
25-2023.00,0.21219190955162048,0.38045036792755127,0.2425657957792282,95,25-2023,"Career/Technical Education Teachers, Middle School",
17-3024.01,0.2118358165025711,0.369619220495224,0.5320321321487427,55,17-3024,Robotics Technicians,
17-2141.00,0.21172890067100525,0.3725711405277252,0.49731510877609253,93,17-2141,Mechanical Engineers,
11-1011.00,0.2116081267595291,0.3790448307991028,0.23928503692150116,49,11-1011,Chief Executives,
25-1067.00,0.21142664551734924,0.3563423454761505,0.22830209136009216,29,25-1067,"Sociology Teachers, Postsecondary",
19-3099.01,0.21141627430915833,0.37536245584487915,0.3159153461456299,45,19-3099,Transportation Planners,
25-1011.00,0.21141281723976135,0.3571607768535614,0.2298494279384613,32,25-1011,"Business Teachers, Postsecondary",
19-1042.00,0.21132269501686096,0.35641416907310486,0.2147856205701828,40,19-1042,"Medical Scientists, Except Epidemiologists",
19-2021.00,0.21107716858386993,0.35016441345214844,0.2084612399339676,63,19-2021,Atmospheric and Space Scientists,
17-2161.00,0.21103715896606445,0.3332507014274597,0.24213917553424835,43,17-2161,Nuclear Engineers,
11-9072.00,0.2110293209552765,0.4051157832145691,0.24830885231494904,64,11-9072,"Entertainment and Recreation Managers, Except Gambling",
15-1299.02,0.21098104119300842,0.3822728991508484,0.26688554883003235,128,15-1299,Geographic Information Systems Technologists and Technicians,
11-9199.01,0.21068134903907776,0.36825764179229736,0.2760399281978607,69,11-9199,Regulatory Affairs Managers,
41-9031.00,0.21044588088989258,0.39982494711875916,0.28855016827583313,97,41-9031,Sales Engineers,
25-1063.00,0.21029767394065857,0.35700130462646484,0.2298494279384613,40,25-1063,"Economics Teachers, Postsecondary",
29-1127.00,0.21021875739097595,0.3185613751411438,0.16824887692928314,27,29-1127,Speech-Language Pathologists,
17-2081.00,0.21003404259681702,0.3687705099582672,0.3363741934299469,55,17-2081,Environmental Engineers,
17-3026.00,0.20985408127307892,0.4406774640083313,0.5740333795547485,111,17-3026,Industrial Engineering Technologists and Technicians,
13-2099.04,0.20931944251060486,0.4003727436065674,0.23561906814575195,28,13-2099,"Fraud Examiners, Investigators and Analysts",
19-1031.00,0.20856375992298126,0.32265129685401917,0.21650171279907227,39,19-1031,Conservation Scientists,
41-3031.00,0.20833173394203186,0.373009592294693,0.2641289234161377,73,41-3031,"Securities, Commodities, and Financial Services Sales Agents",
11-9199.02,0.20832042396068573,0.33985668420791626,0.31527191400527954,78,11-9199,Compliance Managers,
15-1211.01,0.20829062163829803,0.4105450510978699,0.2508853077888489,63,15-1211,Health Informatics Specialists,
17-2051.00,0.20818349719047546,0.3672119677066803,0.35671401023864746,74,17-2051,Civil Engineers,
19-3032.00,0.20782384276390076,0.3547866940498352,0.2307770699262619,29,19-3032,Industrial-Organizational Psychologists,
11-9032.00,0.20781049132347107,0.36876344680786133,0.23840229213237762,57,11-9032,"Education Administrators, Kindergarten through Secondary",
43-9111.00,0.2077987939119339,0.36239010095596313,0.23951809108257294,46,43-9111,Statistical Assistants,
17-2199.11,0.2077333629131317,0.33385705947875977,0.3444351851940155,57,17-2199,Solar Energy Systems Engineers,
19-3011.01,0.2066025733947754,0.360243558883667,0.20571580529212952,35,19-3011,Environmental Economists,
13-1041.01,0.20627255737781525,0.3611343204975128,0.24331042170524597,29,13-1041,Environmental Compliance Inspectors,
11-9021.00,0.2061881572008133,0.3691619038581848,0.35509687662124634,64,11-9021,Construction Managers,
35-1011.00,0.2059403359889984,0.32541102170944214,0.22479291260242462,25,35-1011,Chefs and Head Cooks,
43-5061.00,0.20546552538871765,0.38329893350601196,0.3753061890602112,94,43-5061,"Production, Planning, and Expediting Clerks",
13-1081.01,0.20516283810138702,0.39638692140579224,0.3385891318321228,50,13-1081,Logistics Engineers,
19-3092.00,0.20491953194141388,0.3413808345794678,0.21629056334495544,45,19-3092,Geographers,
11-3031.01,0.2046596109867096,0.4029427468776703,0.2618066966533661,51,11-3031,Treasurers and Controllers,
43-3031.00,0.20461371541023254,0.3923491835594177,0.31051158905029297,121,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",
49-3011.00,0.20448064804077148,0.3625648617744446,0.3474801182746887,26,49-3011,Aircraft Mechanics and Service Technicians,
19-2012.00,0.20440828800201416,0.3729255497455597,0.2724434733390808,74,19-2012,Physicists,
29-2051.00,0.2040763795375824,0.3411943316459656,0.23477065563201904,29,29-2051,Dietetic Technicians,
45-2021.00,0.20395393669605255,0.33046549558639526,0.17686618864536285,22,45-2021,Animal Breeders,
29-1031.00,0.20382118225097656,0.32551640272140503,0.2186800241470337,34,29-1031,Dietitians and Nutritionists,
