date,industry,avg_hourly_earnings
2024-01-01,Manufacturing,33.34
2024-01-01,Mining & Logging,39.22
2024-01-01,Professional & Business Services,41.41
2024-01-01,Retail Trade,24.23
2024-01-01,Total Private,34.47
2024-02-01,Construction,37.53
2024-02-01,Education & Health Services,33.81
2024-02-01,Financial Activities,44.96
2024-02-01,Information,49.22
2024-02-01,Leisure & Hospitality,21.75
2024-02-01,Manufacturing,33.42
2024-02-01,Mining & Logging,39.48
2024-02-01,Professional & Business Services,41.48
2024-02-01,Retail Trade,24.37
2024-02-01,Total Private,34.54
2024-03-01,Construction,37.75
2024-03-01,Education & Health Services,33.94
2024-03-01,Financial Activities,45.12
2024-03-01,Information,49.41
2024-03-01,Leisure & Hospitality,21.84
2024-03-01,Manufacturing,33.6
2024-03-01,Mining & Logging,39.38
2024-03-01,Professional & Business Services,41.66
2024-03-01,Retail Trade,24.34
2024-03-01,Total Private,34.67
2024-04-01,Construction,37.97
2024-04-01,Education & Health Services,34.06
2024-04-01,Financial Activities,45.24
2024-04-01,Information,49.34
2024-04-01,Leisure & Hospitality,21.87
2024-04-01,Manufacturing,33.62
2024-04-01,Mining & Logging,39.69
2024-04-01,Professional & Business Services,41.79
2024-04-01,Retail Trade,24.32
2024-04-01,Total Private,34.75
2024-05-01,Construction,38.0
2024-05-01,Education & Health Services,34.2
2024-05-01,Financial Activities,45.48
2024-05-01,Information,49.46
2024-05-01,Leisure & Hospitality,21.94
2024-05-01,Manufacturing,33.8
2024-05-01,Mining & Logging,39.62
2024-05-01,Professional & Business Services,41.96
2024-05-01,Retail Trade,24.44
2024-05-01,Total Private,34.89
2024-06-01,Construction,38.1
2024-06-01,Education & Health Services,34.32
2024-06-01,Financial Activities,45.52
2024-06-01,Information,49.75
2024-06-01,Leisure & Hospitality,22.01
2024-06-01,Manufacturing,34.0
2024-06-01,Mining & Logging,39.75
2024-06-01,Professional & Business Services,42.15
2024-06-01,Retail Trade,24.43
2024-06-01,Total Private,35.0
2024-07-01,Construction,38.26
2024-07-01,Education & Health Services,34.42
2024-07-01,Financial Activities,45.63
2024-07-01,Information,49.92
2024-07-01,Leisure & Hospitality,22.06
2024-07-01,Manufacturing,34.08
2024-07-01,Mining & Logging,39.67
2024-07-01,Professional & Business Services,42.21
2024-07-01,Retail Trade,24.45
2024-07-01,Total Private,35.07
2024-08-01,Construction,38.37
2024-08-01,Education & Health Services,34.54
2024-08-01,Financial Activities,45.87
2024-08-01,Information,50.27
2024-08-01,Leisure & Hospitality,22.14
2024-08-01,Manufacturing,34.18
2024-08-01,Mining & Logging,39.75
2024-08-01,Professional & Business Services,42.45
2024-08-01,Retail Trade,24.54
2024-08-01,Total Private,35.23
2024-09-01,Construction,38.59
2024-09-01,Education & Health Services,34.69
2024-09-01,Financial Activities,45.88
2024-09-01,Information,50.4
2024-09-01,Leisure & Hospitality,22.2
2024-09-01,Manufacturing,34.26
2024-09-01,Mining & Logging,39.91
2024-09-01,Professional & Business Services,42.7
2024-09-01,Retail Trade,24.59
2024-09-01,Total Private,35.33
2024-10-01,Construction,38.68
2024-10-01,Education & Health Services,34.77
2024-10-01,Financial Activities,46.11
2024-10-01,Information,51.48
2024-10-01,Leisure & Hospitality,22.27
2024-10-01,Manufacturing,34.36
2024-10-01,Mining & Logging,39.99
2024-10-01,Professional & Business Services,42.9
2024-10-01,Retail Trade,24.73
2024-10-01,Total Private,35.48
2024-11-01,Construction,38.78
2024-11-01,Education & Health Services,34.93
2024-11-01,Financial Activities,46.17
2024-11-01,Information,51.4
2024-11-01,Leisure & Hospitality,22.33
2024-11-01,Manufacturing,34.47
2024-11-01,Mining & Logging,40.06
2024-11-01,Professional & Business Services,43.16
2024-11-01,Retail Trade,24.93
2024-11-01,Total Private,35.61
2024-12-01,Construction,38.94
2024-12-01,Education & Health Services,35.01
2024-12-01,Financial Activities,46.37
2024-12-01,Information,51.04
2024-12-01,Leisure & Hospitality,22.4
2024-12-01,Manufacturing,34.54
2024-12-01,Mining & Logging,39.95
2024-12-01,Professional & Business Services,43.33
2024-12-01,Retail Trade,24.86
2024-12-01,Total Private,35.68
2025-01-01,Construction,39.07
2025-01-01,Education & Health Services,35.13
2025-01-01,Financial Activities,46.58
2025-01-01,Information,51.4
2025-01-01,Leisure & Hospitality,22.53
2025-01-01,Manufacturing,34.73
2025-01-01,Mining & Logging,40.21
2025-01-01,Professional & Business Services,43.42
2025-01-01,Retail Trade,24.97
2025-01-01,Total Private,35.83
2025-02-01,Construction,39.12
2025-02-01,Education & Health Services,35.17
2025-02-01,Financial Activities,46.73
2025-02-01,Information,51.46
2025-02-01,Leisure & Hospitality,22.57
2025-02-01,Manufacturing,34.88
2025-02-01,Mining & Logging,40.18
2025-02-01,Professional & Business Services,43.54
2025-02-01,Retail Trade,25.04
2025-02-01,Total Private,35.9
2025-03-01,Construction,39.21
2025-03-01,Education & Health Services,35.13
2025-03-01,Financial Activities,47.02
2025-03-01,Information,51.43
2025-03-01,Leisure & Hospitality,22.7
2025-03-01,Manufacturing,35.17
2025-03-01,Mining & Logging,40.2
2025-03-01,Professional & Business Services,43.68
2025-03-01,Retail Trade,25.24
2025-03-01,Total Private,36.02
2025-04-01,Construction,39.32
2025-04-01,Education & Health Services,35.22
2025-04-01,Financial Activities,47.15
2025-04-01,Information,51.81
2025-04-01,Leisure & Hospitality,22.7
2025-04-01,Manufacturing,35.09
2025-04-01,Mining & Logging,40.11
2025-04-01,Professional & Business Services,43.76
2025-04-01,Retail Trade,25.28
2025-04-01,Total Private,36.08
2025-05-01,Construction,39.44
2025-05-01,Education & Health Services,35.4
2025-05-01,Financial Activities,47.4
2025-05-01,Information,52.16
2025-05-01,Leisure & Hospitality,22.73
2025-05-01,Manufacturing,35.25
2025-05-01,Mining & Logging,40.26
2025-05-01,Professional & Business Services,44.0
2025-05-01,Retail Trade,25.35
2025-05-01,Total Private,36.23
2025-06-01,Construction,39.63
2025-06-01,Education & Health Services,35.38
2025-06-01,Financial Activities,47.4
2025-06-01,Information,52.36
2025-06-01,Leisure & Hospitality,22.8
2025-06-01,Manufacturing,35.33
2025-06-01,Mining & Logging,40.3
2025-06-01,Professional & Business Services,44.2
2025-06-01,Retail Trade,25.37
2025-06-01,Total Private,36.31
2025-07-01,Construction,39.72
2025-07-01,Education & Health Services,35.46
2025-07-01,Financial Activities,47.59
2025-07-01,Information,52.5
2025-07-01,Leisure & Hospitality,22.86
2025-07-01,Manufacturing,35.48
2025-07-01,Mining & Logging,40.39
2025-07-01,Professional & Business Services,44.4
2025-07-01,Retail Trade,25.52
2025-07-01,Total Private,36.43
2025-08-01,Construction,39.96
2025-08-01,Education & Health Services,35.64
2025-08-01,Financial Activities,47.72
2025-08-01,Information,52.65
2025-08-01,Leisure & Hospitality,22.96
2025-08-01,Manufacturing,35.55
2025-08-01,Mining & Logging,40.54
2025-08-01,Professional & Business Services,44.62
2025-08-01,Retail Trade,25.59
2025-08-01,Total Private,36.58
2025-09-01,Construction,40.0
2025-09-01,Education & Health Services,35.55
2025-09-01,Financial Activities,47.92
2025-09-01,Information,52.88
2025-09-01,Leisure & Hospitality,23.01
2025-09-01,Manufacturing,35.67
2025-09-01,Mining & Logging,40.36
2025-09-01,Professional & Business Services,44.72
2025-09-01,Retail Trade,25.62
2025-09-01,Total Private,36.65
2025-10-01,Construction,40.12
2025-10-01,Education & Health Services,35.81
2025-10-01,Financial Activities,48.18
2025-10-01,Information,53.42
2025-10-01,Leisure & Hospitality,23.07
2025-10-01,Manufacturing,35.83
2025-10-01,Mining & Logging,40.7
2025-10-01,Professional & Business Services,44.87
2025-10-01,Retail Trade,25.76
2025-10-01,Total Private,36.81
2025-11-01,Construction,40.23
2025-11-01,Education & Health Services,35.82
2025-11-01,Financial Activities,48.27
2025-11-01,Information,53.28
2025-11-01,Leisure & Hospitality,23.18
2025-11-01,Manufacturing,35.91
2025-11-01,Mining & Logging,40.54
2025-11-01,Professional & Business Services,44.97
2025-11-01,Retail Trade,25.93
2025-11-01,Total Private,36.9
2025-12-01,Construction,40.37
2025-12-01,Education & Health Services,35.91
2025-12-01,Financial Activities,48.53
2025-12-01,Information,53.61
2025-12-01,Leisure & Hospitality,23.28
2025-12-01,Manufacturing,36.07
2025-12-01,Mining & Logging,40.87
2025-12-01,Professional & Business Services,45.07
2025-12-01,Retail Trade,26.05
2025-12-01,Total Private,37.02
